ref,file,cat,w,h,date,desc,src
99,ref_099_main_2016_09_25_Palace_of_Fine_Arts_and_fountain_San_Fr.jpg,main,5152,3864,2016-09-25,2016.09.25-Palace of Fine Arts and fountain San Francisco NRHP Reference No 04000659,https://commons.wikimedia.org/wiki/File%3A2016.09.25-Palace%20of%20Fine%20Arts%20and%20fountain%20San%20Francisco%20NRHP%20Reference%20No%2004000659.jpg
100,ref_100_main_25_Wallpaper.jpg,main,5184,3456,Taken on 2,"Palace of Fine Arts, 3301 Lyon St. Marina District",https://commons.wikimedia.org/wiki/File%3A25-Wallpaper.JPG
101,ref_101_main_A_view_above_322090950.jpg,main,2592,1944,2006-12-13,a view above,https://commons.wikimedia.org/wiki/File%3AA%20view%20above%20%28322090950%29.jpg
102,ref_102_main_Aerial_view_from_Palace_of_Fine_Arts_San_Francisco.jpg,main,4361,3432,1980,"Aerial view from Palace of Fine Arts, San Francisco, California",https://commons.wikimedia.org/wiki/File%3AAerial%20view%20from%20Palace%20of%20Fine%20Arts%2C%20San%20Francisco%2C%20California.jpg
103,ref_103_main_Aerial_view_of_San_Francisco_California_with_the_P.jpg,main,5272,2964,1980,"Aerial view of San Francisco, California, with the Palace of Fine Arts in the foreground",https://commons.wikimedia.org/wiki/File%3AAerial%20view%20of%20San%20Francisco%2C%20California%20with%20the%20Palace%20of%20Fine%20Arts%20in%20the%20foreground%20%28cropped%29.jpg
104,ref_104_main_Aerial_view_of_San_Francisco_California_with_the_P.jpg,main,6590,5080,1980,"Aerial view of San Francisco, California, with the Palace of Fine Arts in the foreground",https://commons.wikimedia.org/wiki/File%3AAerial%20view%20of%20San%20Francisco%2C%20California%20with%20the%20Palace%20of%20Fine%20Arts%20in%20the%20foreground.jpg
105,ref_105_main_Aerial_view_of_The_Palace_of_Fine_Arts.jpg,main,6000,4000,2016-05-28,Aerial view of The Palace of Fine Arts and San Francisco Bay trails,https://commons.wikimedia.org/wiki/File%3AAerial%20view%20of%20The%20Palace%20of%20Fine%20Arts.jpg
106,ref_106_main_Angel_Palace_of_Fine_Arts_San_Francisco_CA_DSC0247.jpg,main,3648,5472,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA.",https://commons.wikimedia.org/wiki/File%3AAngel%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02472.jpg
107,ref_107_main_Angel_Palace_of_Fine_Arts_San_Francisco_CA_DSC0247.jpg,main,5472,3648,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA.",https://commons.wikimedia.org/wiki/File%3AAngel%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02476.jpg
108,ref_108_main_Angels_Palace_of_Fine_Arts_San_Francisco_CA_DSC024.jpg,main,5472,3648,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA.",https://commons.wikimedia.org/wiki/File%3AAngels%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02470.jpg
109,ref_109_main_Animals_at_Palace_of_Fine_Arts_1.jpg,main,3072,2304,10 Septemb,"Palace of Fine Arts, San Francisco, California in Sept, 2012",https://commons.wikimedia.org/wiki/File%3AAnimals%20at%20Palace%20of%20Fine%20Arts%201.JPG
110,ref_110_main_Animals_at_Palace_of_Fine_Arts_2.jpg,main,3072,2304,10 Septemb,"Palace of Fine Arts, San Francisco, California in Sept, 2012",https://commons.wikimedia.org/wiki/File%3AAnimals%20at%20Palace%20of%20Fine%20Arts%202.JPG
111,ref_111_main_Art_in_California_a_survey_of_American_art_with_sp.jpg,main,1674,2404,1916,"
Identifier: artincalifornias00port (find matches)
Title: Art in California : a survey of American art with special reference to Californian painting, sculpture and architecture past and present, part",https://commons.wikimedia.org/wiki/File%3AArt%20in%20California%20-%20a%20survey%20of%20American%20art%20with%20special%20reference%20to%20Californian%20painting%2C%20sculpture%20and%20architecture%20past%20and%20present%2C%20particularly%20as%20those%20arts%20were%20represented%20at%20the%20%2814598350057%29.jpg
112,ref_112_main_Art_in_California_a_survey_of_American_art_with_sp.jpg,main,1792,2828,1916,"
Identifier: artincalifornias00port (find matches)
Title: Art in California : a survey of American art with special reference to Californian painting, sculpture and architecture past and present, part",https://commons.wikimedia.org/wiki/File%3AArt%20in%20California%20-%20a%20survey%20of%20American%20art%20with%20special%20reference%20to%20Californian%20painting%2C%20sculpture%20and%20architecture%20past%20and%20present%2C%20particularly%20as%20those%20arts%20were%20represented%20at%20the%20%2814598351537%29.jpg
113,ref_113_main_Base_of_a_column_322090910.jpg,main,2592,1944,2006-12-13,base of a column,https://commons.wikimedia.org/wiki/File%3ABase%20of%20a%20column%20%28322090910%29.jpg
114,ref_114_main_Black_crowned_night_heron_16811.jpg,main,3503,2748,2020-02-01,"Black-crowned night heron at the Palace of Fine Arts, San Francisco, US",https://commons.wikimedia.org/wiki/File%3ABlack%20crowned%20night%20heron%20%2816811%29.jpg
115,ref_115_main_Black_crowned_night_heron_61300.jpg,main,4608,3456,Taken on 6,Juvenile black-crowned night heron (Nycticorax nycticorax) in San Francisco,https://commons.wikimedia.org/wiki/File%3ABlack-crowned%20night%20heron%20%2861300%29.jpg
116,ref_116_main_Black_crowned_night_heron_61317.jpg,main,3968,3066,Taken on 6,Black-crowned night heron (Nycticorax nycticorax)  in San Francisco,https://commons.wikimedia.org/wiki/File%3ABlack-crowned%20night%20heron%20%2861317%29.jpg
117,ref_117_main_Black_crowned_night_heron_61414.jpg,main,4448,3216,Taken on 6,Juvenile black-crowned night heron (Nycticorax nycticorax) in San Francisco,https://commons.wikimedia.org/wiki/File%3ABlack-crowned%20night%20heron%20%2861414%29.jpg
118,ref_118_main_Black_crowned_night_heron_61429.jpg,main,4608,3456,Taken on 6,Juvenile black-crowned night heron (Nycticorax nycticorax) in San Francisco,https://commons.wikimedia.org/wiki/File%3ABlack-crowned%20night%20heron%20%2861429%29.jpg
119,ref_119_main_Black_crowned_night_heron_61438.jpg,main,3277,3335,Taken on 6,"Juvenile black-crowned night heron (Nycticorax nycticorax) in an ""upright"" threat display as another night heron approaches in San Francisco",https://commons.wikimedia.org/wiki/File%3ABlack-crowned%20night%20heron%20%2861438%29.jpg
120,ref_120_main_Black_crowned_night_heron_61502.jpg,main,3537,3336,Taken on 6,Black-crowned night heron (Nycticorax nycticorax) in San Francisco,https://commons.wikimedia.org/wiki/File%3ABlack-crowned%20night%20heron%20%2861502%29.jpg
121,ref_121_main_Black_crowned_night_heron_61521.jpg,main,4608,3296,Taken on 6,Juvenile black-crowned night heron (Nycticorax nycticorax) in San Francisco,https://commons.wikimedia.org/wiki/File%3ABlack-crowned%20night%20heron%20%2861521%29.jpg
122,ref_122_main_Black_crowned_night_heron_61526.jpg,main,4338,3296,Taken on 6,Black-crowned night heron (Nycticorax nycticorax) in San Francisco,https://commons.wikimedia.org/wiki/File%3ABlack-crowned%20night%20heron%20%2861526%29.jpg
123,ref_123_main_California_San_Francisco_NARA_23935739.jpg,main,4350,3370,1917 – 196,,https://commons.wikimedia.org/wiki/File%3ACalifornia%20-%20San%20Francisco%20-%20NARA%20-%2023935739.jpg
124,ref_124_main_California_San_Francisco_NARA_23935753.jpg,main,4350,3370,1917 – 196,,https://commons.wikimedia.org/wiki/File%3ACalifornia%20-%20San%20Francisco%20-%20NARA%20-%2023935753.jpg
125,ref_125_main_Ceiling_Angel_322091444.jpg,main,1944,2592,2006-12-13,Ceiling Angel,https://commons.wikimedia.org/wiki/File%3ACeiling%20Angel%20%28322091444%29.jpg
126,ref_126_main_Children_in_the_park_of_the_Palace_of_Fine_Arts_Sa.jpg,main,4608,3456,2011-10-10,"Families like to go for a walk and play with their children in the park of the Palace of Fine Arts in San Francisco, CA, USA.

By the founder of   www.techsurprise.com/",https://commons.wikimedia.org/wiki/File%3AChildren%20in%20the%20park%20of%20the%20Palace%20of%20Fine%20Arts%2C%20San%20Francisco%2C%20CA%2C%20USA%20%289479238905%29%20%282%29.jpg
127,ref_127_main_Construction_of_the_Palace_of_Fine_Arts_San_Franci.jpg,main,4608,3456,2011-10-10,"A part from the construction of the Palace of Fine Arts rebuilt in 1965. This construction was built for the Panama-Pacific Exposition in 1915 in San Francisco, CA, USA.

By the founder of www.financi",https://commons.wikimedia.org/wiki/File%3AConstruction%20of%20the%20Palace%20of%20Fine%20Arts%2C%20San%20Francisco%2C%20CA%2C%20USA%20%289479204109%29%20%282%29.jpg
128,ref_128_main_Corinthian_columns_and_rotunda_Palace_of_Fine_Arts.jpg,main,1920,2560,2007-07-30,"Palace of Fine Arts, San Francisco, California, USA",https://commons.wikimedia.org/wiki/File%3ACorinthian%20columns%20and%20rotunda%2C%20Palace%20of%20Fine%20Arts%2C%20SF.jpg
129,ref_129_main_Creeping_ivy_322091493.jpg,main,1944,2592,2006-12-13,creeping ivy,https://commons.wikimedia.org/wiki/File%3ACreeping%20ivy%20%28322091493%29.jpg
130,ref_130_main_Exploratorium_dyeclan_com_panoramio_1.jpg,main,2748,3664,Taken on 5,Exploratorium,https://commons.wikimedia.org/wiki/File%3AExploratorium%20dyeclan.com%20-%20panoramio%20%281%29.jpg
131,ref_131_main_Exploratorium_dyeclan_com_panoramio_2.jpg,main,2748,3664,Taken on 5,Exploratorium,https://commons.wikimedia.org/wiki/File%3AExploratorium%20dyeclan.com%20-%20panoramio%20%282%29.jpg
132,ref_132_main_Exploratorium_dyeclan_com_panoramio_3.jpg,main,3664,2748,Taken on 5,Exploratorium,https://commons.wikimedia.org/wiki/File%3AExploratorium%20dyeclan.com%20-%20panoramio%20%283%29.jpg
133,ref_133_main_Exploratorium_dyeclan_com_panoramio.jpg,main,3664,2748,Taken on 5,Exploratorium,https://commons.wikimedia.org/wiki/File%3AExploratorium%20dyeclan.com%20-%20panoramio.jpg
134,ref_134_main_Flickr_trialsanderrors_Panama_Pacific_Internationa.jpg,main,3393,1352,,"Aeroplane view main group of exhibit palaces. Panama-Pacific International Exposition, Published by Pacific Novelty Co., San Francisco, California, 1915.
In the foreground is the Palace of Fine Arts, ",https://commons.wikimedia.org/wiki/File%3AFlickr%20-%20%E2%80%A6trialsanderrors%20-%20Panama-Pacific%20International%20Exposition%2C%20San%20Francisco%2C%20aeroplane%20view%2C%201915.jpg
135,ref_135_main_Fountain_322090800.jpg,main,1944,2592,2006-12-13,fountain,https://commons.wikimedia.org/wiki/File%3AFountain%20%28322090800%29.jpg
136,ref_136_main_Garland_Lady.jpg,main,2284,3046,2013-01-01,"




This is an image of a place or building that is listed on the National Register of Historic Places in the United States of America. Its reference number is 04000659 (Wikidata).


Garland Lady",https://commons.wikimedia.org/wiki/File%3AGarland-Lady.jpg
137,ref_137_main_Golden_gate_and_Palace_of_Fine_Arts_sea_view_San_F.jpg,main,4608,2592,2011-10-10,"On the left side of the photo you can see Presidio and the dome of the Palace of Fine arts. On the right side is the Golden Gate bridge of San Francisco, CA, USA.

I recommend you to visit www.thetrip",https://commons.wikimedia.org/wiki/File%3AGolden%20gate%20and%20Palace%20of%20Fine%20Arts%20sea%20view%2C%20San%20Francisco%2C%20CA%2C%20USA%20%289481938320%29%20%282%29.jpg
138,ref_138_main_Greek_colonnade_San_Francisco_CA_USA_9481989300_2.jpg,main,4608,3456,2011-10-10,"The Greek colonnade is part of the construction of the Palace of Fine Arts in San Francisco, CA, USA. The whole construction is like an echo of the classical settings in Europe.

By the founder of www",https://commons.wikimedia.org/wiki/File%3AGreek%20colonnade%2C%20San%20Francisco%2C%20CA%2C%20USA%20%289481989300%29%20%282%29.jpg
139,ref_139_main_Gushing_lagoon_Palace_of_Fine_Arts_San_Francisco_4.jpg,main,2816,2112,2007-07-28,"If you use this photo, please link to www.CGPGrey.com for attribution.",https://commons.wikimedia.org/wiki/File%3AGushing%20lagoon%2C%20Palace%20of%20Fine%20Arts%2C%20San%20Francisco%20%284889313613%29.jpg
140,ref_140_main_Gushing_lagoon_Palace_of_Fine_Arts_San_Francisco.jpg,main,1644,1090,21 June 20,"San Francisco,California,USA.",https://commons.wikimedia.org/wiki/File%3AGushing%20lagoon%2C%20Palace%20of%20Fine%20Arts%2C%20San%20Francisco.jpg
141,ref_141_main_Heritage_Art_Museum_in_California.jpg,main,5472,3492,2016-08-16,Heritage art museum in San Francisco.,https://commons.wikimedia.org/wiki/File%3AHeritage%20Art%20Museum%20in%20California.jpg
142,ref_142_main_Heritage_pillars.jpg,main,5358,3572,Taken on 1,Heritage pillars of the art museum in San Francisco,https://commons.wikimedia.org/wiki/File%3AHeritage%20pillars.jpg
143,ref_143_main_Juvenile_black_crowned_night_heron_22055.jpg,main,4124,2978,Taken on 1,"Juvenile black-crowned night heron (Nycticorax nycticorax) in San Francisco, California, United States.",https://commons.wikimedia.org/wiki/File%3AJuvenile%20black-crowned%20night%20heron%20%2822055%29.jpg
144,ref_144_main_Lagoon_Palace_of_Fine_Arts_San_Francisco_CA_DSC024.jpg,main,5472,3648,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA. Constructed c. 1914.",https://commons.wikimedia.org/wiki/File%3ALagoon%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02416.jpg
145,ref_145_main_Lagoon_Palace_of_Fine_Arts_San_Francisco_CA_DSC024.jpg,main,5472,3648,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA. Constructed c. 1914.",https://commons.wikimedia.org/wiki/File%3ALagoon%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02422.jpg
146,ref_146_main_Light_dark_322091183.jpg,main,1944,2592,2006-12-13,light &amp; dark,https://commons.wikimedia.org/wiki/File%3ALight%20%26%20dark%20%28322091183%29.jpg
147,ref_147_main_Mahonia_Palace_of_Fine_Arts_San_Francisco_CA_DSC02.jpg,main,5472,3648,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA.",https://commons.wikimedia.org/wiki/File%3AMahonia%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02494.jpg
148,ref_148_main_Marina_District_San_Francisco_CA_USA_panoramio_10.jpg,main,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%2810%29.jpg
149,ref_149_main_Marina_District_San_Francisco_CA_USA_panoramio_12.jpg,main,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%2812%29.jpg
150,ref_150_main_Marina_District_San_Francisco_CA_USA_panoramio_2.jpg,main,4608,3456,14 Decembe,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%282%29.jpg
151,ref_151_main_Marina_District_San_Francisco_CA_USA_panoramio_3.jpg,main,2590,1727,Taken on 2,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%283%29.jpg
152,ref_152_main_Marina_District_San_Francisco_CA_USA_panoramio_4.jpg,main,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%284%29.jpg
153,ref_153_main_Marina_District_San_Francisco_CA_USA_panoramio_5.jpg,main,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%285%29.jpg
154,ref_154_main_Marina_District_San_Francisco_CA_USA_panoramio_6.jpg,main,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%286%29.jpg
155,ref_155_main_Marina_District_San_Francisco_CA_USA_panoramio_7.jpg,main,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%287%29.jpg
156,ref_156_main_Marina_District_San_Francisco_CA_USA_panoramio_8.jpg,main,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%288%29.jpg
157,ref_157_main_Marina_District_San_Francisco_CA_USA_panoramio_9.jpg,main,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio%20%289%29.jpg
158,ref_158_main_Marina_District_San_Francisco_CA_USA_panoramio.jpg,main,4320,3240,Taken on 2,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3AMarina%20District%2C%20San%20Francisco%2C%20CA%2C%20USA%20-%20panoramio.jpg
159,ref_159_main_Maybeck_Fine_Arts_Palace_1.jpg,main,1556,2000,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3AMaybeck%20Fine%20Arts%20Palace%201.jpg
160,ref_160_main_Maybeck_Fine_Arts_Palace_2.jpg,main,1582,2000,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3AMaybeck%20Fine%20Arts%20Palace%202.jpg
161,ref_161_main_Maybeck_Fine_Arts_Palace_3.jpg,main,1580,2000,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3AMaybeck%20Fine%20Arts%20Palace%203.jpg
162,ref_162_main_Muse_Finding_Head_of_Orpheus_Edward_Berge_Panama_P.jpg,main,1349,2154,1915<div s,"
Muse finding head of Orpheus postcard of sculpture from the Panama-Pacific International Exposition (1915), San Francisco, CA",https://commons.wikimedia.org/wiki/File%3AMuse%20Finding%20Head%20of%20Orpheus%20%28Edward%20Berge%29%20Panama-Pacific%20International%20Exposition%201915%20postcard.jpg
163,ref_163_main_Observing_at_Exploratorium.jpg,main,3264,2176,Taken on 1,Sculpture at Exploratorium museum in San Francisco.,https://commons.wikimedia.org/wiki/File%3AObserving%20at%20Exploratorium.JPG
164,ref_164_main_PALACE_OF_FINE_ARTS.jpg,main,4320,3240,Taken on 2,,https://commons.wikimedia.org/wiki/File%3APALACE%20OF%20FINE%20ARTS.jpg
165,ref_165_main_POFA_columns.jpg,main,2368,1936,2007-04,"A view of the columns from inside the Palace of Fine Arts in San Francisco, CA.",https://commons.wikimedia.org/wiki/File%3APOFA-columns.jpg
166,ref_166_main_Palace_Of_Fine_Arts_panoramio.jpg,main,4320,3240,Taken on 2,Palace Of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20Of%20Fine%20Arts%20-%20panoramio.jpg
167,ref_167_main_Palace_of_Fine_Arts_16754sp.jpg,main,4613,4806,2020-02-01,"Palace of Fine Arts, San Francisco, US",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%2816754sp%29.jpg
168,ref_168_main_Palace_of_Fine_Arts_16768p.jpg,main,6867,4823,2020-02-01,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%2816768p%29.jpg
169,ref_169_main_Palace_of_Fine_Arts_16794p.jpg,main,10074,6252,2020-02-01,"Morning golden hour at the Palace of Fine Arts in San Francisco, United States. 18-frame panorama.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%2816794p%29.jpg
170,ref_170_main_Palace_of_Fine_Arts_322090718.jpg,main,2592,1944,2006-12-13,"I have always admired it from a far.  The water you see here is apparently an ancient tidal pool.  Unfortunately, it is causing the foundation under the Palace dome to sink..",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%28322090718%29.jpg
171,ref_171_main_Palace_of_Fine_Arts_9331688296.jpg,main,3568,2009,2013-07-16,"San Francisco (CA), USA.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%289331688296%29.jpg
172,ref_172_main_Palace_of_Fine_Arts_San_Francisco.jpg,main,3024,3024,2018-04-21,Entry to the Palave of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%2CSan%20Francisco.jpg
173,ref_173_main_Palace_of_Fine_Arts_Exposed_night_shot.jpg,main,1702,2271,2 February,"Palace of Fine Arts at night, January 30, 2010. By Dan Martin.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20Exposed%20night%20shot.jpg
174,ref_174_main_Palace_of_Fine_Arts_March_2018_1464.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281464%29.jpg
175,ref_175_main_Palace_of_Fine_Arts_March_2018_1468.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281468%29.jpg
176,ref_176_main_Palace_of_Fine_Arts_March_2018_1476.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281476%29.jpg
177,ref_177_main_Palace_of_Fine_Arts_March_2018_1480.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281480%29.jpg
178,ref_178_main_Palace_of_Fine_Arts_March_2018_1489.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281489%29.jpg
179,ref_179_main_Palace_of_Fine_Arts_March_2018_1491.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281491%29.jpg
180,ref_180_main_Palace_of_Fine_Arts_March_2018_1493.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281493%29.jpg
181,ref_181_main_Palace_of_Fine_Arts_March_2018_1494.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281494%29.jpg
182,ref_182_main_Palace_of_Fine_Arts_March_2018_1511.jpg,main,4000,6000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281511%29.jpg
183,ref_183_main_Palace_of_Fine_Arts_March_2018_1514.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281514%29.jpg
184,ref_184_main_Palace_of_Fine_Arts_March_2018_1551.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281551%29.jpg
185,ref_185_main_Palace_of_Fine_Arts_March_2018_1566.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281566%29.jpg
186,ref_186_main_Palace_of_Fine_Arts_March_2018_1570.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281570%29.jpg
187,ref_187_main_Palace_of_Fine_Arts_March_2018_1593.jpg,main,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281593%29.jpg
188,ref_188_night_A_Night_at_the_Palace.jpg,night,4272,2848,Taken on 1,"Palace of Fine Arts, 3301 Lyon St. Marina District",https://commons.wikimedia.org/wiki/File%3AA%20Night%20at%20the%20Palace.JPG
189,ref_189_night_Nighttime_at_the_Palace_of_Fine_Arts_in_San_Franci.jpg,night,5849,3903,2019-01-26,"Palace of Fine Arts; San Francisco; California; Bernard Maybeck, architect; Marina District; opened in 1915; 3601 Lyon Street, San Francisco, CA 94123; rebuilt from 1964 to 1974; originally built for ",https://commons.wikimedia.org/wiki/File%3ANighttime%20at%20the%20Palace%20of%20Fine%20Arts%2C%20in%20San%20Francisco%2C%20CA.jpg
190,ref_190_night_Palace_Of_Fine_Arts_130996437.jpg,night,2048,1365,17 Decembe,"
500px provided description: Palace of fine arts [#city ,#sunset ,#night ,#urban ,#architecture ,#cityscape ,#lights ,#building ,#beautiful ,#california ,#art ,#palace ,#san francisco ,#palace of fine",https://commons.wikimedia.org/wiki/File%3APalace%20Of%20Fine%20Arts%20%28130996437%29.jpeg
191,ref_191_night_Palace_of_Fine_Arts_Evening_with_reflection.jpg,night,2270,1701,2 February,"Palace of Fine Arts at night, January 30, 2010. By Dan Martin.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20Evening%20with%20reflection.jpg
192,ref_192_night_Palace_of_Fine_Arts_Rotunda_lit.jpg,night,2271,1704,2 February,"Palace of Fine Arts at night, January 30, 2010. By Dan Martin.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20Rotunda%20lit.jpg
193,ref_193_night_Palace_of_Fine_Arts_Arch_at_Night_01.jpg,night,2448,3264,Taken on 3,Palace of Fine arts at night,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20Arch%20at%20Night%2001.jpg
194,ref_194_night_Palace_of_Fine_Arts_Arch_at_Night_02.jpg,night,2448,3264,Taken on 3,Palace of Fine arts at night,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20Arch%20at%20Night%2002.jpg
195,ref_195_night_Palace_of_Fine_Arts_MG_6098.jpg,night,4752,3168,Taken on 9,"Palace of Fine Arts
Dusk",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20MG%206098.jpg
196,ref_196_night_Palace_of_Fine_Arts_MG_6125.jpg,night,4752,3168,Taken on 9,"Palace of Fine Arts
Night",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20MG%206125.jpg
197,ref_197_night_Palace_of_Fine_Arts_San_Francisco_January_2014_001.jpg,night,4000,3200,Taken on 2,"Palace of Fine Arts, San Francisco, California.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20San%20Francisco%20January%202014%20001.jpg
198,ref_198_night_Palace_of_Fine_Arts_San_Francisco_January_2014_002.jpg,night,4860,3240,Taken on 2,"Palace of Fine Arts, San Francisco, California.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20San%20Francisco%20January%202014%20002.jpg
199,ref_199_night_Palace_of_Fine_Arts_at_Night.jpg,night,4856,3216,2015-07-11,The Palace of Fine Arts in San Francisco lit up at night.,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20at%20Night.jpg
